,__run,_params,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
225,226.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.1, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5897435897435898,0.5859126984126983,0.62390873015873,0.7204481792717087,78.0,0.5762718762718763,0.7260887260887261,0.5897435897435898,78.0
226,227.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.15, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6153846153846154,0.5274812906391854,0.5025996363457663,0.6314731465341554,78.0,0.6046513315744084,0.6499185999185999,0.6153846153846154,78.0
227,228.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6025641025641025,0.6474971332476404,0.6986404220779221,0.7252856405720183,78.0,0.6171491771117298,0.7373390498390499,0.6025641025641025,78.0
228,229.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.557975622681505,0.5367880485527544,0.6422180017517843,78.0,0.6516170016170015,0.6976393976393975,0.6538461538461539,78.0
229,230.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6410256410256411,0.6255520011034716,0.6697321428571428,0.7003049904172196,78.0,0.629541591306297,0.7736935286935287,0.6410256410256411,78.0
230,231.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6119556913674561,0.6757352941176471,0.6335232545030396,78.0,0.6474636474636475,0.8058226495726496,0.6538461538461539,78.0
231,232.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': 6, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.6219579430132709,0.7483901515151514,0.6246332743623766,78.0,0.548183010068256,0.7965229215229216,0.5641025641025641,78.0
232,233.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6282051282051282,0.5162749559393343,0.5281746031746031,0.6089029763952365,78.0,0.611236635739364,0.7836385836385836,0.6282051282051282,78.0
233,234.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.1, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5769230769230769,0.5836282711282712,0.6134920634920635,0.7171587055874982,78.0,0.5676126676126676,0.6897639397639398,0.5769230769230769,78.0
234,235.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.15, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6410256410256411,0.5570959896656491,0.5364698510983341,0.6474395330887773,78.0,0.6318020441097364,0.6814713064713065,0.6410256410256411,78.0
235,236.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6025641025641025,0.6474971332476404,0.6986404220779221,0.7252856405720183,78.0,0.6171491771117298,0.7373390498390499,0.6025641025641025,78.0
236,237.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6794871794871795,0.6013165954342424,0.592530345471522,0.6581843883064062,78.0,0.6828524328524328,0.7254171754171752,0.6794871794871795,78.0
237,238.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6538461538461539,0.6347564145761778,0.6741071428571428,0.7128049904172196,78.0,0.6411262126470161,0.7812576312576311,0.6538461538461539,78.0
238,239.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.6666666666666666,0.6490972146434332,0.7229166666666667,0.6460294334452047,78.0,0.6771717700289129,0.7915331196581196,0.6666666666666666,78.0
